episode,env_seed,steps,wall_clock_sec,avg_global_reward,total_global_reward,avg_latency_ms,avg_file_count,avg_partition_pruning_ratio,n_updates,compaction_loss,partition_loss,epsilon,action_distribution
1,25201,500,574.2,0.208507,104.253693,301.801,42.39,0.242345,1,1.52577,0.335389,0.0,"{""NOOP"": 396, ""COMPACT_128KB"": 8, ""PARTITION_EVENT_TYPE"": 2, ""COMPACT_32KB"": 78, ""PARTITION_HOUR"": 6, ""PARTITION_REGION"": 6, ""COMPACT_64KB"": 2, ""REMOVE_PARTITION"": 2}"
2,25202,500,503.1,0.207898,103.948807,269.3982,43.144,0.249341,1,1.500045,0.039053,0.0,"{""NOOP"": 399, ""COMPACT_128KB"": 9, ""PARTITION_HOUR"": 5, ""COMPACT_32KB"": 77, ""PARTITION_EVENT_TYPE"": 2, ""PARTITION_REGION"": 3, ""COMPACT_64KB"": 2, ""REMOVE_PARTITION"": 3}"
3,25203,500,498.7,0.214005,107.002463,255.5357,45.684,0.286433,1,1.444006,0.021679,0.0,"{""NOOP"": 396, ""COMPACT_32KB"": 79, ""REMOVE_PARTITION"": 3, ""PARTITION_HOUR"": 7, ""PARTITION_REGION"": 3, ""COMPACT_128KB"": 8, ""PARTITION_EVENT_TYPE"": 3, ""COMPACT_64KB"": 1}"
4,25204,500,562.7,0.157692,78.845931,425.7938,70.536,0.235908,1,1.916115,0.257183,0.0,"{""NOOP"": 392, ""COMPACT_32KB"": 84, ""PARTITION_HOUR"": 6, ""COMPACT_128KB"": 3, ""PARTITION_REGION"": 10, ""PARTITION_EVENT_TYPE"": 2, ""REMOVE_PARTITION"": 3}"
5,25205,500,479.3,0.200603,100.301709,273.7005,43.954,0.216447,2,5.046856,0.319121,0.0,"{""NOOP"": 379, ""COMPACT_128KB"": 8, ""PARTITION_HOUR"": 7, ""COMPACT_32KB"": 79, ""PARTITION_EVENT_TYPE"": 1, ""PARTITION_REGION"": 22, ""REMOVE_PARTITION"": 4}"
