policy,cost_flat,cost_size_proportional,n_compactions,mean_table_kb_at_compaction,rank_flat,rank_size_proportional,rank_change
Threshold10_C128,8.370873258142089,8.329643729588096,123.8,4260.845934018436,1.0,1.0,0.0
DDQN,8.793080924950408,8.889478705633689,173.4,5084.879380023799,2.0,2.0,0.0
AttentivePPO-clip,10.370663554956057,10.427772057790795,164.8,4864.50012630442,3.0,3.0,0.0
CompactOnly,10.859760961511993,10.926210979947498,157.8,4891.657108676539,4.0,5.0,1.0
Threshold10_C64,10.89762566894989,10.87253438873675,123.8,4379.844090122378,5.0,4.0,-1.0
WorkloadAwareThreshold,11.349735234779356,11.399703174215887,210.4,4781.589293026895,6.0,6.0,0.0
MLP-PPO,11.620657009856416,11.560413798718518,116.2,3923.9459061149837,7.0,7.0,0.0
AlwaysCompact_C128,12.915698286640168,12.772338065155145,1000.0,4434.455896484375,8.0,8.0,0.0
No_Maintenance,49.85791454522324,49.85791454522324,0.0,,9.0,9.0,0.0
