query_mult,compact_mult,storage_mult,policy,cost,model
1.0,0.5,0.5,Threshold10_C128,5.838765345349121,flat
1.0,0.5,0.5,Threshold10_C64,8.302764824125672,flat
1.0,0.5,0.5,CompactOnly,8.169652301062774,flat
1.0,0.5,0.5,No_Maintenance,46.41959775909042,flat
1.0,0.5,1.0,DDQN,8.359580924950409,flat
1.0,0.5,1.0,AttentivePPO-clip,9.958663554956056,flat
1.0,0.5,1.0,MLP-PPO,11.330157009856416,flat
1.0,0.5,1.0,WorkloadAwareThreshold,10.823735234779358,flat
1.0,0.5,1.0,AlwaysCompact_C128,10.415698286640168,flat
1.0,0.5,1.0,Threshold10_C128,8.061373258142089,flat
1.0,0.5,1.0,Threshold10_C64,10.58812566894989,flat
1.0,0.5,1.0,CompactOnly,10.465260961511992,flat
1.0,0.5,1.0,No_Maintenance,49.85791454522324,flat
1.0,0.5,2.0,DDQN,12.846389610692597,flat
1.0,0.5,2.0,AttentivePPO-clip,14.524180579760742,flat
1.0,0.5,2.0,MLP-PPO,15.998144781145475,flat
1.0,0.5,2.0,WorkloadAwareThreshold,15.396461046302795,flat
1.0,0.5,2.0,AlwaysCompact_C128,14.850154183124541,flat
1.0,0.5,2.0,Threshold10_C128,12.506589083728027,flat
1.0,0.5,2.0,Threshold10_C64,15.158847358598328,flat
1.0,0.5,2.0,CompactOnly,15.056478282410433,flat
1.0,0.5,2.0,No_Maintenance,56.73454811748886,flat
1.0,1.0,0.5,DDQN,6.549676582079314,flat
1.0,1.0,0.5,AttentivePPO-clip,8.087905042553711,flat
1.0,1.0,0.5,MLP-PPO,9.286663124211884,flat
1.0,1.0,0.5,WorkloadAwareThreshold,9.06337232901764,flat
1.0,1.0,0.5,AlwaysCompact_C128,10.698470338397978,flat
1.0,1.0,0.5,Threshold10_C128,6.148265345349121,flat
1.0,1.0,0.5,Threshold10_C64,8.61226482412567,flat
1.0,1.0,0.5,CompactOnly,8.564152301062773,flat
1.0,1.0,0.5,No_Maintenance,46.41959775909042,flat
1.0,1.0,1.0,DDQN,8.793080924950408,flat
1.0,1.0,1.0,AttentivePPO-clip,10.370663554956057,flat
1.0,1.0,1.0,MLP-PPO,11.620657009856416,flat
1.0,1.0,1.0,WorkloadAwareThreshold,11.349735234779356,flat
1.0,1.0,1.0,AlwaysCompact_C128,12.915698286640168,flat
1.0,1.0,1.0,Threshold10_C128,8.370873258142089,flat
1.0,1.0,1.0,Threshold10_C64,10.89762566894989,flat
1.0,1.0,1.0,CompactOnly,10.859760961511993,flat
1.0,1.0,1.0,No_Maintenance,49.85791454522324,flat
1.0,1.0,2.0,DDQN,13.279889610692596,flat
1.0,1.0,2.0,AttentivePPO-clip,14.936180579760741,flat
1.0,1.0,2.0,MLP-PPO,16.28864478114548,flat
1.0,1.0,2.0,WorkloadAwareThreshold,15.922461046302795,flat
1.0,1.0,2.0,AlwaysCompact_C128,17.35015418312454,flat
1.0,1.0,2.0,Threshold10_C128,12.816089083728027,flat
1.0,1.0,2.0,Threshold10_C64,15.468347358598328,flat
1.0,1.0,2.0,CompactOnly,15.450978282410432,flat
1.0,1.0,2.0,No_Maintenance,56.73454811748886,flat
1.0,2.0,0.5,DDQN,7.416676582079316,flat
1.0,2.0,0.5,AttentivePPO-clip,8.91190504255371,flat
1.0,2.0,0.5,MLP-PPO,9.867663124211884,flat
1.0,2.0,0.5,WorkloadAwareThreshold,10.115372329017639,flat
1.0,2.0,0.5,AlwaysCompact_C128,15.698470338397978,flat
1.0,2.0,0.5,Threshold10_C128,6.767265345349121,flat
1.0,2.0,0.5,Threshold10_C64,9.231264824125672,flat
1.0,2.0,0.5,CompactOnly,9.353152301062774,flat
1.0,2.0,0.5,No_Maintenance,46.41959775909042,flat
1.0,2.0,1.0,DDQN,9.66008092495041,flat
1.0,2.0,1.0,AttentivePPO-clip,11.194663554956055,flat
1.0,2.0,1.0,MLP-PPO,12.201657009856415,flat
1.0,2.0,1.0,WorkloadAwareThreshold,12.401735234779357,flat
1.0,2.0,1.0,AlwaysCompact_C128,17.91569828664017,flat
1.0,2.0,1.0,Threshold10_C128,8.989873258142088,flat
1.0,2.0,1.0,Threshold10_C64,11.51662566894989,flat
1.0,2.0,1.0,CompactOnly,11.648760961511993,flat
1.0,2.0,1.0,No_Maintenance,49.85791454522324,flat
1.0,2.0,2.0,DDQN,14.146889610692597,flat
1.0,2.0,2.0,AttentivePPO-clip,15.760180579760743,flat
1.0,2.0,2.0,MLP-PPO,16.869644781145475,flat
1.0,2.0,2.0,WorkloadAwareThreshold,16.9744610463028,flat
1.0,2.0,2.0,AlwaysCompact_C128,22.35015418312454,flat
1.0,2.0,2.0,Threshold10_C128,13.435089083728027,flat
1.0,2.0,2.0,Threshold10_C64,16.08734735859833,flat
1.0,2.0,2.0,CompactOnly,16.23997828241043,flat
1.0,2.0,2.0,No_Maintenance,56.73454811748886,flat
2.0,0.5,0.5,DDQN,9.555448821287538,flat
2.0,0.5,0.5,AttentivePPO-clip,12.657051572705077,flat
2.0,0.5,0.5,MLP-PPO,15.367832362779236,flat
2.0,0.5,0.5,WorkloadAwareThreshold,14.26238175227356,flat
2.0,0.5,0.5,AlwaysCompact_C128,11.679712728553772,flat
2.0,0.5,0.5,Threshold10_C128,9.145422777905273,flat
2.0,0.5,0.5,Threshold10_C64,14.010668803427123,flat
2.0,0.5,0.5,CompactOnly,13.64919594167633,flat
2.0,0.5,0.5,No_Maintenance,89.40087873204804,flat
2.0,0.5,1.0,DDQN,11.798853164158631,flat
2.0,0.5,1.0,AttentivePPO-clip,14.939810085107421,flat
2.0,0.5,1.0,MLP-PPO,17.701826248423767,flat
2.0,0.5,1.0,WorkloadAwareThreshold,16.54874465803528,flat
2.0,0.5,1.0,AlwaysCompact_C128,13.896940676795959,flat
2.0,0.5,1.0,Threshold10_C128,11.368030690698243,flat
2.0,0.5,1.0,Threshold10_C64,16.29602964825134,flat
2.0,0.5,1.0,CompactOnly,15.944804602125549,flat
2.0,0.5,1.0,No_Maintenance,92.83919551818084,flat
2.0,0.5,2.0,DDQN,16.285661849900816,flat
2.0,0.5,2.0,AttentivePPO-clip,19.50532710991211,flat
2.0,0.5,2.0,MLP-PPO,22.369814019712834,flat
2.0,0.5,2.0,WorkloadAwareThreshold,21.121470469558716,flat
2.0,0.5,2.0,AlwaysCompact_C128,18.331396573280337,flat
2.0,0.5,2.0,Threshold10_C128,15.813246516284181,flat
2.0,0.5,2.0,Threshold10_C64,20.866751337899778,flat
2.0,0.5,2.0,CompactOnly,20.536021923023988,flat
2.0,0.5,2.0,No_Maintenance,99.71582909044648,flat
2.0,1.0,0.5,DDQN,9.988948821287536,flat
2.0,1.0,0.5,AttentivePPO-clip,13.069051572705082,flat
2.0,1.0,0.5,MLP-PPO,15.658332362779237,flat
2.0,1.0,0.5,WorkloadAwareThreshold,14.78838175227356,flat
2.0,1.0,0.5,AlwaysCompact_C128,14.179712728553772,flat
2.0,1.0,0.5,Threshold10_C128,9.454922777905274,flat
2.0,1.0,0.5,Threshold10_C64,14.320168803427126,flat
2.0,1.0,0.5,CompactOnly,14.04369594167633,flat
2.0,1.0,0.5,No_Maintenance,89.40087873204804,flat
2.0,1.0,1.0,DDQN,12.232353164158633,flat
2.0,1.0,1.0,AttentivePPO-clip,15.351810085107422,flat
2.0,1.0,1.0,MLP-PPO,17.99232624842377,flat
2.0,1.0,1.0,WorkloadAwareThreshold,17.07474465803528,flat
2.0,1.0,1.0,AlwaysCompact_C128,16.396940676795957,flat
2.0,1.0,1.0,Threshold10_C128,11.677530690698243,flat
2.0,1.0,1.0,Threshold10_C64,16.605529648251345,flat
2.0,1.0,1.0,CompactOnly,16.339304602125548,flat
2.0,1.0,1.0,No_Maintenance,92.83919551818084,flat
2.0,1.0,2.0,DDQN,16.719161849900818,flat
2.0,1.0,2.0,AttentivePPO-clip,19.91732710991211,flat
2.0,1.0,2.0,MLP-PPO,22.660314019712832,flat
2.0,1.0,2.0,WorkloadAwareThreshold,21.647470469558716,flat
2.0,1.0,2.0,AlwaysCompact_C128,20.831396573280337,flat
2.0,1.0,2.0,Threshold10_C128,16.122746516284177,flat
2.0,1.0,2.0,Threshold10_C64,21.17625133789978,flat
2.0,1.0,2.0,CompactOnly,20.930521923023985,flat
2.0,1.0,2.0,No_Maintenance,99.71582909044648,flat
2.0,2.0,0.5,DDQN,10.855948821287537,flat
2.0,2.0,0.5,AttentivePPO-clip,13.893051572705076,flat
2.0,2.0,0.5,MLP-PPO,16.239332362779237,flat
2.0,2.0,0.5,WorkloadAwareThreshold,15.840381752273558,flat
2.0,2.0,0.5,AlwaysCompact_C128,19.179712728553774,flat
2.0,2.0,0.5,Threshold10_C128,10.073922777905272,flat
2.0,2.0,0.5,Threshold10_C64,14.939168803427126,flat
2.0,2.0,0.5,CompactOnly,14.83269594167633,flat
2.0,2.0,0.5,No_Maintenance,89.40087873204804,flat
2.0,2.0,1.0,DDQN,13.099353164158629,flat
2.0,2.0,1.0,AttentivePPO-clip,16.175810085107422,flat
2.0,2.0,1.0,MLP-PPO,18.57332624842377,flat
2.0,2.0,1.0,WorkloadAwareThreshold,18.12674465803528,flat
2.0,2.0,1.0,AlwaysCompact_C128,21.396940676795957,flat
2.0,2.0,1.0,Threshold10_C128,12.296530690698242,flat
2.0,2.0,1.0,Threshold10_C64,17.22452964825134,flat
2.0,2.0,1.0,CompactOnly,17.128304602125546,flat
2.0,2.0,1.0,No_Maintenance,92.83919551818084,flat
2.0,2.0,2.0,DDQN,17.586161849900815,flat
2.0,2.0,2.0,AttentivePPO-clip,20.741327109912113,flat
2.0,2.0,2.0,MLP-PPO,23.24131401971283,flat
2.0,2.0,2.0,WorkloadAwareThreshold,22.69947046955871,flat
2.0,2.0,2.0,AlwaysCompact_C128,25.831396573280337,flat
2.0,2.0,2.0,Threshold10_C128,16.741746516284177,flat
2.0,2.0,2.0,Threshold10_C64,21.79525133789978,flat
2.0,2.0,2.0,CompactOnly,21.719521923023986,flat
2.0,2.0,2.0,No_Maintenance,99.71582909044648,flat
