label,theta,boost,cc,pc,varied,value,reward,ci_low,ci_high,latency_ms,files,pruning,n_episodes,delta_vs_default,pct_vs_default,p_vs_default,cliffs_delta,significant
meta_theta0p35_boost0p0_cc4_pc20,0.35,0.0,4,20,boost,0.0,0.19673333333333334,0.18709999999999996,0.2108,249.71152700000002,40.80533333333333,0.183389,3,-0.0065333333333333354,-3.2141685798622506,1.0,-0.5555555555555556,False
meta_theta0p35_boost0p3_cc4_pc20,0.35,0.3,4,20,boost,0.3,0.20706666666666665,0.1944,0.22119999999999998,248.93398266666665,37.907333333333334,0.19745,3,0.00379999999999997,1.869465398491294,1.0,0.3333333333333333,False
meta_theta0p35_boost0p15_cc2_pc20,0.35,0.15,2,20,cc,2.0,0.21999999999999997,0.2048,0.22939999999999997,237.16439366666668,34.78933333333334,0.216915,3,0.016733333333333295,8.232207281075743,1.0,0.7777777777777778,False
meta_theta0p35_boost0p15_cc8_pc20,0.35,0.15,8,20,cc,8.0,0.19410000000000002,0.17790000000000003,0.205,264.210183,45.74066666666666,0.19984100000000002,3,-0.009166666666666656,-4.509675303378152,1.0,-0.3333333333333333,False
meta_theta0p35_boost0p15_cc4_pc20,0.35,0.15,4,20,default,,0.20326666666666668,0.19410000000000002,0.2154,249.56410566666668,39.49933333333333,0.19280566666666665,3,0.0,0.0,,,
meta_theta0p35_boost0p15_cc4_pc10,0.35,0.15,4,10,pc,10.0,0.20333333333333334,0.19400000000000003,0.2194,247.73120566666668,38.800000000000004,0.18719366666666667,3,6.666666666665932e-05,0.03279763857001935,1.0,-0.1111111111111111,False
meta_theta0p35_boost0p15_cc4_pc40,0.35,0.15,4,40,pc,40.0,0.1905,0.1712,0.21020000000000003,236.75227833333335,38.894666666666666,0.14348166666666667,3,-0.012766666666666676,-6.2807477861594005,1.0,-0.5555555555555556,False
meta_theta0p25_boost0p15_cc4_pc20,0.25,0.15,4,20,theta,0.25,0.19346666666666668,0.1914,0.1947,246.721153,39.050666666666665,0.15047466666666667,3,-0.009800000000000003,-4.821252869793376,1.0,-0.5555555555555556,False
meta_theta0p3_boost0p15_cc4_pc20,0.3,0.15,4,20,theta,0.3,0.19093333333333332,0.1877,0.1953,260.487837,38.91733333333334,0.14539100000000002,3,-0.012333333333333363,-6.067563135454261,1.0,-0.7777777777777778,False
meta_theta0p4_boost0p15_cc4_pc20,0.4,0.15,4,20,theta,0.4,0.20413333333333336,0.1927,0.2199,257.75742966666667,39.60933333333333,0.19886066666666666,3,0.0008666666666666822,0.42636930141030605,1.0,-0.1111111111111111,False
meta_theta0p45_boost0p15_cc4_pc20,0.45,0.15,4,20,theta,0.45,0.20186666666666667,0.1877,0.2206,247.547715,39.967999999999996,0.196348,3,-0.0014000000000000123,-0.6887504099704882,1.0,-0.1111111111111111,False
