policy,files +25%,files -25%,latency +25%,latency -25%,pruning +25%,pruning -25%,published,util +25%,util -25%
AlwaysCompact_C128,0.17687740342258268,0.19778731957232826,0.17215720223128742,0.2038380916635565,0.17377638473833665,0.20195633902022903,0.18680961359371184,0.22508664589258828,0.14450342000021685
AttentivePPO-clip,0.1808315864919791,0.20458614296481903,0.176394816326979,0.2103844044125987,0.1955567846104315,0.18811508992101883,0.19211500081657812,0.21596915871063102,0.16574987893367749
CompactOnly,0.11099285691608367,0.12762262080198722,0.10804857948054054,0.1314938017104807,0.11059720442966312,0.12853188622906794,0.11889199476188783,0.14638500978349195,0.08850497815906223
DDQN,0.21788071874463247,0.24422211019143586,0.21271929633698602,0.25093244951510074,0.23069027999871614,0.23004725228660364,0.2303928796818641,0.2606949422906462,0.19690112627215756
MLP-PPO,0.16165921884263532,0.1853955576681759,0.15790525131672875,0.19039979935573056,0.1783657192361096,0.16662141771969338,0.17293397978476713,0.19403422948208746,0.1496126511719393
No_Maintenance,-0.16292638446366908,-0.13409416177563424,-0.15880342711084505,-0.13810645754545578,-0.13881960808079305,-0.16133089587767838,-0.1492310786868525,-0.13639487419167595,-0.16341846260257398
Threshold10_C128,0.16626309447979515,0.18620371495135254,0.1619363353372157,0.19177104640006815,0.1634743155384046,0.1899836640040918,0.17573488920378494,0.21188626687715165,0.13577810335427437
Threshold10_C64,0.12006896628796575,0.13735852063406745,0.11667679312810544,0.14176806118055654,0.11933163218824565,0.13868270767823146,0.12828150460236404,0.15753802165962458,0.0959453541706551
WorkloadAwareThreshold,0.20140396537462313,0.22742030909826766,0.19618532458765242,0.23418836038376453,0.21966971666546137,0.2068956885095541,0.21376172864335427,0.23806572737505144,0.18689941425568887
