scale,policy,reward,ci_low,ci_high,pruning,latency_ms,files,n_episodes
0.8,DDQN,0.18646666666666664,0.17899999999999996,0.19719999999999996,0.13364833333333334,268.25184733333333,38.443999999999996,3
0.8,WorkloadAwareThreshold,0.18166666666666664,0.1716,0.18909999999999996,0.19559666666666667,313.458292,49.178,3
0.9,DDQN,0.19756666666666667,0.18489999999999998,0.22020000000000003,0.1754273333333333,255.36572766666666,39.23733333333333,3
0.9,WorkloadAwareThreshold,0.18816666666666668,0.1793,0.1948,0.220046,313.34454466666665,49.623999999999995,3
1.0,DDQN,0.20053333333333334,0.1895,0.2196,0.18666366666666667,258.0058413333333,40.064,3
1.0,WorkloadAwareThreshold,0.1971333333333333,0.1848,0.2087,0.24449533333333337,309.08813499999997,48.97533333333333,3
1.1,DDQN,0.21216666666666664,0.2007,0.2351,0.21917033333333333,251.07537033333332,38.59466666666666,3
1.1,WorkloadAwareThreshold,0.20153333333333334,0.1905,0.20919999999999997,0.2680356666666666,322.55038033333335,49.79466666666667,3
1.2,DDQN,0.21620000000000003,0.20299999999999999,0.2397,0.23556366666666664,255.75176266666665,39.645999999999994,3
1.2,WorkloadAwareThreshold,0.20756666666666668,0.1953,0.21529999999999996,0.285514,309.6386566666667,49.63400000000001,3
