epoch,loss
1,-0.1388128391570515
2,-0.18538585581161357
3,-0.24851414423297952
4,-0.21366196815614347
5,-0.17888047215011385
6,-0.14239754003507119
7,-0.18089588924690528
8,-0.20826805107019566
9,-0.22419826244866406
10,-0.24568720327483284
11,-0.18156724174817404
12,-0.15763543877336714
13,-0.1825796423686875
14,-0.24796787952935254
15,-0.23694024069441688
16,-0.23945262283086777
17,-0.16410164948966768
18,-0.15749550610780716
19,-0.1966367209399188
20,-0.22780941481943484
21,-0.23080755328690564
22,-0.20006748068111915
23,-0.1862998005968553
24,-0.1822922486397955
25,-0.2158167571933181
26,-0.18368989063633812
27,-0.24120700856049856
28,-0.20497222907013363
29,-0.22043339990907246
30,-0.21016963930041702
31,-0.2518313772700451
32,-0.20509133874266236
33,-0.2306604286034902
34,-0.23097004906998742
35,-0.23297011797074918
36,-0.2263183378511005
37,-0.22401229347343798
38,-0.20784775857572202
39,-0.24938996798462337
40,-0.24964421463233452
41,-0.27174859631944587
42,-0.19553749373665563
43,-0.23239900088972515
44,-0.25825075336076597
45,-0.24977186570564905
46,-0.2512522593692497
47,-0.2440974309488579
48,-0.2902205691293434
49,-0.2830205769450576
50,-0.2883630019647104
51,-0.24975538281378923
52,-0.28638244613453195
53,-0.2780885467374766
54,-0.24339839926472417
55,-0.23969969539730637
56,-0.2511310312483046
57,-0.22147079364017205
58,-0.2396492326149234
59,-0.24317161738872528
60,-0.25482131761533244
61,-0.2933994435049869
62,-0.2925709847498823
63,-0.24502733294610624
64,-0.23454014267082568
65,-0.260328422817919
66,-0.2428750925593906
67,-0.27181297209527755
68,-0.26208527938083365
69,-0.19799585695619937
70,-0.28505837779354165
71,-0.2782331865142893
72,-0.2596169354187118
73,-0.267170843426828
74,-0.2458042648655397
75,-0.28149221533978425
76,-0.2783396382022787
77,-0.2514462887688919
78,-0.29261426544851726
79,-0.2661217086844974
80,-0.2566443118784163
81,-0.2533293159471618
82,-0.30764239584958114
83,-0.291778723122897
84,-0.2521218525038825
85,-0.28733457652507005
86,-0.28513077674088655
87,-0.2908803768180035
88,-0.20883624145278223
89,-0.2242611406577958
90,-0.21006437804963854
91,-0.23396661436116253
92,-0.23672554393609366
93,-0.24664668324920866
94,-0.29383952418963116
95,-0.28457231598871724
96,-0.184534746463652
97,-0.22914436790678236
98,-0.2653165989451938
99,-0.27866556660996544
100,-0.2991939377453592
101,-0.31047122759951484
102,-0.22909777832252007
103,-0.25765403387723146
104,-0.28679635210169685
105,-0.25300336353204866
106,-0.2734007308328593
107,-0.2929568009244071
108,-0.23418021533224317
109,-0.28207268759056375
110,-0.22491452980924537
111,-0.2770567061724486
112,-0.2581773518964096
113,-0.29145329004084625
114,-0.27950816932651734
115,-0.2856991641499378
116,-0.3257726745473014
117,-0.23171335182808064
118,-0.30040842653424654
119,-0.28920418741526427
120,-0.26923717751547144
121,-0.2425511744287279
122,-0.2588726712597741
123,-0.25690295160920534
124,-0.23202465722958246
125,-0.25105099269637354
126,-0.2907804176211357
127,-0.2504509601880003
128,-0.25271773752239013
129,-0.2671977248456743
130,-0.2619615646976012
131,-0.24951256590860862
132,-0.28680537834211633
133,-0.2527893646447747
134,-0.2066955453267804
135,-0.22480318308980377
136,-0.2641813349392679
137,-0.2725945070937828
138,-0.259695072416906
139,-0.2748971487636919
140,-0.2530942377116945
141,-0.29622688034066447
142,-0.2855433286340148
143,-0.27204378970243315
144,-0.2539543299763291
145,-0.2555070748483693
146,-0.23970252606603834
147,-0.2548661441714675
148,-0.27130898971248557
149,-0.23481493277682197
150,-0.23795684068291276
151,-0.22865721224634736
152,-0.2711519113293401
153,-0.2517824379934205
154,-0.2603593979168821
155,-0.21445409925999465
156,-0.2691116647587882
157,-0.2931976359751489
158,-0.260357061194049
159,-0.28524669590923524
160,-0.289893901458493
161,-0.3184888854070946
162,-0.2776212308693815
163,-0.2926818800193292
164,-0.2501509780133212
165,-0.2911894326960599
166,-0.2775404353936513
167,-0.2742521892543192
168,-0.3083760432071156
169,-0.22279537745096065
170,-0.31938209136327106
171,-0.25657787339554894
172,-0.315028284434919
173,-0.26348231374113645
174,-0.2545651465102478
175,-0.27241469478165664
176,-0.25741343365775216
177,-0.2745709427528911
178,-0.22740672721906943
179,-0.2651398369559535
180,-0.26010117100344765
181,-0.2801373802401401
182,-0.2953291391884839
183,-0.32141103043600366
184,-0.27389982949804376
185,-0.23053098773514782
186,-0.24599171926577887
187,-0.2809286517677484
188,-0.29241164249402507
189,-0.21772235825105948
190,-0.2926274212422194
191,-0.30331847182026617
192,-0.33182768689261544
193,-0.3117783886414987
194,-0.28500899644913497
195,-0.29354019849388685
196,-0.25043795478564723
197,-0.28415638981042085
198,-0.24848267849948671
199,-0.21837149091340877
200,-0.24623802111104684
