epoch,loss
1,-0.07805324621774533
2,-0.13980733768807518
3,-0.19569982919428083
4,-0.18087211968722167
5,-0.14027186455550017
6,-0.22735561651212197
7,-0.21557374270977797
8,-0.17738012665951694
9,-0.1477408798204528
10,-0.1560632233266477
11,-0.193928771548801
12,-0.2083141420174528
13,-0.18069247404734293
14,-0.23571615362608875
15,-0.21360282434357536
16,-0.18085965817725216
17,-0.2269350693181709
18,-0.18307009228953608
19,-0.17198995887129395
20,-0.17079321902107308
21,-0.21160593932425534
22,-0.18462379966621045
23,-0.19585256002567433
24,-0.18217756240456193
25,-0.2144947471442046
26,-0.19980230375572486
27,-0.23880506306886673
28,-0.279993732770284
29,-0.21082932695194526
30,-0.24949819567026915
31,-0.24152721326660226
32,-0.2435774055344087
33,-0.22592225946761943
34,-0.22422983276623268
35,-0.22874216431820835
36,-0.19107781323017897
37,-0.20349549612513296
38,-0.24090761801710836
39,-0.21995938376144128
40,-0.22460758603281444
41,-0.261510974003209
42,-0.24789643398037664
43,-0.2569547924730513
44,-0.24139534406088017
45,-0.25085782784002797
46,-0.21876188229631494
47,-0.22589551353896106
48,-0.24170243933244986
49,-0.26252437465720707
50,-0.2330215460172406
51,-0.21572280730362292
52,-0.25834089352024925
53,-0.2750268095621356
54,-0.27100406642313357
55,-0.2357360706837089
56,-0.2474726775178203
57,-0.23163680373518555
58,-0.29758358912335503
59,-0.2664040122871046
60,-0.28204236924648285
61,-0.24746070388290617
62,-0.21186793154036557
63,-0.2377929546766811
64,-0.2298382275082447
65,-0.17213107838674827
66,-0.27733877301216125
67,-0.25042705044702246
68,-0.278933042453395
69,-0.2592442866276812
70,-0.2501216682570952
71,-0.24144589431859828
72,-0.26807938129813585
73,-0.2560924493052341
74,-0.27609685918799154
75,-0.24015404339189883
76,-0.2391187145754143
77,-0.20731648388836119
78,-0.24564062224494088
79,-0.267531334526009
80,-0.24185545797701236
81,-0.25239574550478544
82,-0.2545818429854181
83,-0.2279456048100083
84,-0.28091856864867387
85,-0.2345214538552143
86,-0.2616242942986665
87,-0.27392079267236924
88,-0.21816322262640353
89,-0.29422634150143023
90,-0.29151412347952527
91,-0.23227146323080416
92,-0.2626906798945533
93,-0.2300214096903801
94,-0.19676140281889173
95,-0.21894872381731315
96,-0.2769333184869201
97,-0.28438851402865517
98,-0.2577235671105208
99,-0.2783097152908643
100,-0.27960861529465075
101,-0.2708997936160476
102,-0.2956516891717911
103,-0.2559238153475302
104,-0.2648377898666594
105,-0.2533309708038966
106,-0.2266112411463702
107,-0.28217578017049366
108,-0.2734037052702021
109,-0.3039907964843291
110,-0.290158709442174
111,-0.28343734862627806
112,-0.2562225781105183
113,-0.28379687170187634
114,-0.2588580408030086
115,-0.24485085435487605
116,-0.2845002473504455
117,-0.21185989843474495
118,-0.2428879964130896
119,-0.2961530025910448
120,-0.22611997055786628
121,-0.276200998712469
122,-0.2634027042874583
123,-0.27943362488790796
124,-0.25957340388386335
125,-0.24472280867673732
126,-0.2797749012156769
127,-0.31506542999435355
128,-0.25036044970706656
129,-0.21436147309011883
130,-0.2516644850925163
131,-0.2999044731259346
132,-0.2610662656801718
133,-0.28834590371008273
134,-0.21364334998307405
135,-0.25353319860166973
136,-0.2800324859994429
137,-0.22313410154095403
138,-0.23428688998575564
139,-0.2627226522675267
140,-0.25257368275412806
141,-0.22205462913822244
142,-0.27351759043004775
143,-0.24509049317351095
144,-0.26927229127398244
145,-0.2837394133762077
146,-0.31212763019182066
147,-0.2550327220448741
148,-0.30923002185644927
149,-0.25876381772535817
150,-0.2244387122767943
151,-0.2574525298895659
152,-0.29716609942692296
153,-0.25331575285505364
154,-0.2742258715960715
155,-0.27048274377981824
156,-0.2624700712385001
157,-0.3326796445029753
158,-0.2498865607712004
159,-0.23693408292752724
160,-0.2615968734025955
161,-0.23127195846151422
162,-0.36167831498163716
163,-0.28477686919547895
164,-0.2771047232327638
165,-0.24470731036530602
166,-0.2517574056982994
167,-0.2730574072511108
168,-0.324596782249433
169,-0.2791159255085168
170,-0.31807999119714453
171,-0.289203405380249
172,-0.27152485538412025
173,-0.2664886312904181
174,-0.24672213969407258
175,-0.2567049938219565
176,-0.2781878505591993
177,-0.25197178015002497
178,-0.27842961582872605
179,-0.20847991991926124
180,-0.23622214214669335
181,-0.23902292742773337
182,-0.27029016420797064
183,-0.27502301666471696
184,-0.2858087467374625
185,-0.2596374104420344
186,-0.24850230636420073
187,-0.23739246941275066
188,-0.3058399709838408
189,-0.27118437654442257
190,-0.2770187076595094
191,-0.25635066876808804
192,-0.3029732533075191
193,-0.27680088193328295
194,-0.24456087693020148
195,-0.28934079105103455
196,-0.28378213390156076
197,-0.2724534460791835
198,-0.24973982241418627
199,-0.24723080076553203
200,-0.2474605816381949
