name_a,name_b,n,mean_a,mean_b,mean_diff,wilcoxon_p,permutation_p,cliffs_delta,rank_biserial,effect_label,wilcoxon_p_corr,permutation_p_corr,significant,protocol,metric,metric_label,higher_is_better
Threshold10_C128,Threshold10_C64,5,0.17592000000000002,0.12840000000000001,0.04752000000000001,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
Threshold10_C128,WorkloadAwareThreshold,5,0.17592000000000002,0.21391999999999997,-0.03799999999999999,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
Threshold10_C64,WorkloadAwareThreshold,5,0.12840000000000001,0.21391999999999997,-0.08552000000000001,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_global_reward,Global reward,True
AlwaysCompact_C128,CompactOnlyRL_attentive_ppoclip,5,348.12423899999993,547.9543639999999,-199.830125,0.0625,0.0625,-0.84,-1.0,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
AlwaysCompact_C128,MultiAgentRL_attentive_ppoclip,5,348.12423899999993,498.114653,-149.990414,0.3125,0.25,-0.44,-0.6,medium,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
AlwaysCompact_C128,MultiAgentRL_ddqn,5,348.12423899999993,343.9272239999999,4.197014999999999,0.8125,0.8125,0.12,0.2,negligible,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
AlwaysCompact_C128,MultiAgentRL_mlp_ppo,5,348.12423899999993,637.1669238,-289.0426848,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
AlwaysCompact_C128,Threshold10_C128,5,348.12423899999993,330.6657434,17.458495600000003,0.3125,0.3125,0.52,0.6,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
AlwaysCompact_C128,Threshold10_C64,5,348.12423899999993,570.7903980000001,-222.66615899999996,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
AlwaysCompact_C128,WorkloadAwareThreshold,5,348.12423899999993,572.5009422,-224.3767032,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
