policy,variant,steps,query,compaction,storage,operational_total,inference,training_amortised,total,n_episodes_evaluated,inference_ms_per_step,training_wall_clock_sec,training_cost_usd,vs_no_maintenance_pct,operational_only_pct
Threshold10_C128,,1000.0,3.3066574325561526,0.619,4.445215825585937,8.37087325814209,0.0,0.0,8.37087325814209,5,,,,83.21054273028336,83.21054273028336
MultiAgentRL_ddqn,DDQN,1000.0,3.4392722392082216,0.867,4.486808685742187,8.79308092495041,0.00012799733333333332,0.00019798055555555558,8.793406902839298,5,4.7999,135.5,0.01979805555555556,82.36306716185791,82.3637209755841
MultiAgentRL_attentive_ppoclip,AttentivePPO-clip,1000.0,4.981146530151368,0.8240000000000001,4.565517024804687,10.370663554956055,0.0002861813333333333,0.00028915388888888893,10.371238890178278,5,10.7318,197.9,0.028915388888888893,79.19841015257242,79.19956410220604
Threshold10_C64,,1000.0,5.707903979301453,0.619,4.570721689648437,10.897625668949889,0.0,0.0,10.897625668949889,5,,,,78.14263639313418,78.14263639313418
WorkloadAwareThreshold,,1000.0,5.725009423255921,1.052,4.572725811523437,11.349735234779358,0.0,0.0,11.349735234779358,5,,,,77.23584041108525,77.23584041108525
MultiAgentRL_mlp_ppo,MLP-PPO,1000.0,6.371669238567353,0.5810000000000001,4.667987771289062,11.620657009856416,9.2792e-05,0.00015195555555555558,11.620901757411971,5,3.4797,104.0,0.015195555555555558,76.69196182108395,76.69245271116186
AlwaysCompact_C128,,1000.0,3.4812423901557925,5.0,4.4344558964843745,12.915698286640167,0.0,0.0,12.915698286640167,5,,,,74.09498892111687,74.09498892111687
No_Maintenance (published run),,1000.0,42.98128097295761,0.0,6.876633572265625,49.85791454522324,0.0,0.0,49.85791454522324,1,,,,0.0,0.0
