episode,env_seed,steps,wall_clock_sec,avg_global_reward,total_global_reward,avg_latency_ms,avg_file_count,avg_partition_pruning_ratio,n_updates,compaction_loss,partition_loss,epsilon,action_distribution
1,25501,500,431.2,0.19805,99.024911,233.8498,34.06,0.160828,0,0.0,0.0,0.0,"{""NOOP"": 397, ""COMPACT_64KB"": 19, ""PARTITION_REGION"": 7, ""COMPACT_32KB"": 27, ""REMOVE_PARTITION"": 5, ""COMPACT_128KB"": 36, ""PARTITION_HOUR"": 5, ""PARTITION_EVENT_TYPE"": 4}"
2,25502,500,399.1,0.211539,105.76973,208.6892,33.952,0.195693,0,0.0,0.0,0.0,"{""NOOP"": 402, ""COMPACT_128KB"": 35, ""PARTITION_HOUR"": 6, ""COMPACT_64KB"": 10, ""COMPACT_32KB"": 28, ""PARTITION_EVENT_TYPE"": 9, ""REMOVE_PARTITION"": 6, ""PARTITION_REGION"": 4}"
3,25503,500,390.1,0.212244,106.121902,194.7956,33.328,0.208125,0,0.0,0.0,0.0,"{""NOOP"": 411, ""COMPACT_32KB"": 29, ""PARTITION_EVENT_TYPE"": 3, ""COMPACT_64KB"": 16, ""COMPACT_128KB"": 29, ""PARTITION_HOUR"": 3, ""REMOVE_PARTITION"": 5, ""PARTITION_REGION"": 4}"
4,25504,500,418.4,0.214852,107.425983,224.5885,38.882,0.236717,0,0.0,0.0,0.0,"{""NOOP"": 406, ""COMPACT_64KB"": 13, ""PARTITION_HOUR"": 6, ""COMPACT_128KB"": 23, ""COMPACT_32KB"": 40, ""PARTITION_REGION"": 4, ""REMOVE_PARTITION"": 7, ""PARTITION_EVENT_TYPE"": 1}"
5,25505,500,480.8,0.207707,103.853257,261.8527,35.296,0.209608,0,0.0,0.0,0.0,"{""NOOP"": 402, ""COMPACT_128KB"": 31, ""PARTITION_HOUR"": 5, ""COMPACT_64KB"": 18, ""COMPACT_32KB"": 29, ""PARTITION_REGION"": 6, ""REMOVE_PARTITION"": 3, ""PARTITION_EVENT_TYPE"": 6}"
