tag,seed,arch,specialist,algorithm,n_train_samples,trainable_params,approx_gradient_updates,wall_clock_sec,final_loss,gpu,platform,tf_version,timestamp
compaction_attentive_ppo_seed1,1,attentive_ppo,compaction,awr_returns,17000,84741,39750,239.8,0.40659999504553535,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T18:36:35
partition_attentive_ppo_seed1,1,attentive_ppo,partition,awr_shaped_balanced,4990,85830,15400,42.4,0.6714763564092142,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T18:37:18
compaction_mlp_ppo_seed1,1,mlp_ppo,compaction,offline_ppo_clip,17000,70469,39750,168.2,-0.026575173688145864,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T18:40:06
partition_mlp_ppo_seed1,1,mlp_ppo,partition,offline_ppo_clip,4990,121734,15400,68.9,-0.15895499558702333,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T18:41:15
compaction_ddqn_seed1,1,ddqn,compaction,double_dqn_rawQ,17000,71237,39750,257.8,0.09180895946709845,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T18:45:33
partition_ddqn_seed1,1,ddqn,partition,double_dqn_rawQ,4990,122502,15400,101.5,564043.5137289977,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T18:47:14
compaction_attentive_ppo_seed2,2,attentive_ppo,compaction,awr_returns,17000,84741,39750,232.8,0.4250611701436275,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T18:51:07
partition_attentive_ppo_seed2,2,attentive_ppo,partition,awr_shaped_balanced,4990,85830,15400,41.4,0.766542547278934,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T18:51:48
compaction_mlp_ppo_seed2,2,mlp_ppo,compaction,offline_ppo_clip,17000,70469,39750,171.3,-0.020427402574568987,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T18:54:40
partition_mlp_ppo_seed2,2,mlp_ppo,partition,offline_ppo_clip,4990,121734,15400,69.8,-0.18098384207253582,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T18:55:50
compaction_ddqn_seed2,2,ddqn,compaction,double_dqn_rawQ,17000,71237,39750,255.4,0.09009689092285987,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:00:05
partition_ddqn_seed2,2,ddqn,partition,double_dqn_rawQ,4990,122502,15400,107.6,211866.10039813703,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:01:53
compaction_attentive_ppo_seed3,3,attentive_ppo,compaction,awr_returns,17000,84741,39750,235.5,0.40962309218877185,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:05:48
partition_attentive_ppo_seed3,3,attentive_ppo,partition,awr_shaped_balanced,4990,85830,15400,40.8,0.7304518443566782,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:06:29
compaction_mlp_ppo_seed3,3,mlp_ppo,compaction,offline_ppo_clip,17000,70469,39750,168.5,-0.013874319954816482,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:09:18
partition_mlp_ppo_seed3,3,mlp_ppo,partition,offline_ppo_clip,4990,121734,15400,67.4,-0.16822294443289734,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:10:25
compaction_ddqn_seed3,3,ddqn,compaction,double_dqn_rawQ,17000,71237,39750,259.3,0.09796884730178163,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:14:44
partition_ddqn_seed3,3,ddqn,partition,double_dqn_rawQ,4990,122502,15400,110.5,205557.13969661028,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:16:35
compaction_attentive_ppo_seed4,4,attentive_ppo,compaction,awr_returns,17000,84741,39750,247.5,0.41011023844501615,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:20:43
