tag,label,kind,seed,specialist,algorithm,window_size,embed_dim,num_heads,epochs,batch,lr,entropy_coef,num_actions,num_features,trainable_params,n_train_samples,wall_clock_sec,final_loss,gpu,tf_version,timestamp
compaction_attn_D_context_seed3,attn_D_context,attention,3,compaction,offline_ppo_clip_balanced,20,64.0,4.0,150,64,0.0003,0.01,4,8,85381,17000,108.1,0.1751164431085012,Tesla T4,2.20.0,2026-08-08T21:16:16
partition_attn_D_context_seed3,attn_D_context,attention,3,partition,offline_ppo_clip_balanced,40,64.0,4.0,200,64,0.0003,0.1,5,14,87110,4990,43.4,-0.26237385664825086,Tesla T4,2.20.0,2026-08-08T21:17:00
compaction_attn_E_combo_seed1,attn_E_combo,attention,1,compaction,offline_ppo_clip_balanced,20,128.0,8.0,300,64,0.0003,0.01,4,8,598277,17000,268.7,-0.09056375476018506,Tesla T4,2.20.0,2026-08-08T21:21:29
partition_attn_E_combo_seed1,attn_E_combo,attention,1,partition,offline_ppo_clip_balanced,40,128.0,8.0,400,64,0.0003,0.1,5,14,601734,4990,127.2,-0.3181664176561214,Tesla T4,2.20.0,2026-08-08T21:23:36
compaction_attn_E_combo_seed2,attn_E_combo,attention,2,compaction,offline_ppo_clip_balanced,20,128.0,8.0,300,64,0.0003,0.01,4,8,598277,17000,267.7,-0.10414235223540846,Tesla T4,2.20.0,2026-08-08T21:28:04
partition_attn_E_combo_seed2,attn_E_combo,attention,2,partition,offline_ppo_clip_balanced,40,128.0,8.0,400,64,0.0003,0.1,5,14,601734,4990,128.8,-0.3394627794623375,Tesla T4,2.20.0,2026-08-08T21:30:13
compaction_attn_E_combo_seed3,attn_E_combo,attention,3,compaction,offline_ppo_clip_balanced,20,128.0,8.0,300,64,0.0003,0.01,4,8,598277,17000,275.7,-0.12371838285720774,Tesla T4,2.20.0,2026-08-08T21:34:49
partition_attn_E_combo_seed3,attn_E_combo,attention,3,partition,offline_ppo_clip_balanced,40,128.0,8.0,400,64,0.0003,0.1,5,14,601734,4990,128.3,-0.2717836744807385,Tesla T4,2.20.0,2026-08-08T21:36:58
compaction_mlp_matched_seed1,mlp_matched,mlp_matched,1,compaction,offline_ppo_clip_balanced,10,,,150,64,0.0003,0.01,4,8,84837,17000,71.5,0.13974191094463578,Tesla T4,2.20.0,2026-08-08T21:38:10
partition_mlp_matched_seed1,mlp_matched,mlp_matched,1,partition,offline_ppo_clip_balanced,20,,,200,64,0.0003,0.1,5,14,85830,4990,27.5,-0.26760341889328426,Tesla T4,2.20.0,2026-08-08T21:38:37
compaction_mlp_matched_seed2,mlp_matched,mlp_matched,2,compaction,offline_ppo_clip_balanced,10,,,150,64,0.0003,0.01,4,8,84837,17000,69.8,0.13549842053492153,Tesla T4,2.20.0,2026-08-08T21:39:47
partition_mlp_matched_seed2,mlp_matched,mlp_matched,2,partition,offline_ppo_clip_balanced,20,,,200,64,0.0003,0.1,5,14,85830,4990,27.4,-0.26840033989261697,Tesla T4,2.20.0,2026-08-08T21:40:15
compaction_mlp_matched_seed3,mlp_matched,mlp_matched,3,compaction,offline_ppo_clip_balanced,10,,,150,64,0.0003,0.01,4,8,84837,17000,71.1,0.16602811739038753,Tesla T4,2.20.0,2026-08-08T21:41:26
partition_mlp_matched_seed3,mlp_matched,mlp_matched,3,partition,offline_ppo_clip_balanced,20,,,200,64,0.0003,0.1,5,14,85830,4990,28.4,-0.29277838904548575,Tesla T4,2.20.0,2026-08-08T21:41:54
compaction_mlp_matched_seed4,mlp_matched,mlp_matched,4,compaction,offline_ppo_clip_balanced,10,,,150,64,0.0003,0.01,4,8,84837,17000,71.8,0.16337940538758222,Tesla T4,2.20.0,2026-08-08T21:43:06
partition_mlp_matched_seed4,mlp_matched,mlp_matched,4,partition,offline_ppo_clip_balanced,20,,,200,64,0.0003,0.1,5,14,85830,4990,27.2,-0.3138551513353984,Tesla T4,2.20.0,2026-08-08T21:43:34
compaction_mlp_matched_seed5,mlp_matched,mlp_matched,5,compaction,offline_ppo_clip_balanced,10,,,150,64,0.0003,0.01,4,8,84837,17000,70.5,0.14038945178558326,Tesla T4,2.20.0,2026-08-08T21:44:44
partition_mlp_matched_seed5,mlp_matched,mlp_matched,5,partition,offline_ppo_clip_balanced,20,,,200,64,0.0003,0.1,5,14,85830,4990,27.2,-0.3170329161264278,Tesla T4,2.20.0,2026-08-08T21:45:12
