seed,specialist,window,recent_mass_overall,uniform_recent_mass,ratio_vs_uniform,recent_mass_transition,recent_mass_midphase,delta,mannwhitney_p,rank_biserial,n_transition,n_mid
1,compaction,10,0.3649653196334839,0.3,1.2165510654449463,0.36255091428756714,0.3655841052532196,-0.003033190965652466,0.7219894129313779,0.016134594541334146,204,796
1,partition,20,0.4967121183872223,0.15,3.311414122581482,0.4975266456604004,0.4965033531188965,0.0010232925415039062,0.29084774000375346,0.047886491279929055,204,796
2,compaction,10,0.3650098145008087,0.3,1.2166993816693625,0.35528725385665894,0.36750152707099915,-0.01221427321434021,0.0033254111073315615,0.13309193023943244,204,796
2,partition,20,0.7725273370742798,0.15,5.150182247161865,0.7628380060195923,0.7750105261802673,-0.012172520160675049,0.0008704254407648654,0.15092619962557885,204,796
3,compaction,10,0.4323866367340088,0.3,1.4412887891133628,0.4286653995513916,0.4333403408527374,-0.004674941301345825,0.09032420037471682,0.07678096364173814,204,796
3,partition,20,0.7506242394447327,0.15,5.004161596298218,0.7667914628982544,0.7464808821678162,0.020310580730438232,3.350638560618772e-08,-0.2503202285939501,204,796
