epoch,loss,val_critic
1,-0.06776654191643876,0.0325440876185894
2,-0.10562063874128987,0.028103528544306755
3,-0.10468063098104562,0.026895157992839813
4,-0.11625347354942385,0.02638482302427292
5,-0.12253145509235122,0.025693386793136597
6,-0.11797594144830809,0.025015274062752724
7,-0.132177461815231,0.024730490520596504
8,-0.1366824576192919,0.0244161207228899
9,-0.14333016367848306,0.024589668959379196
10,-0.1417507967528175,0.025025248527526855
11,-0.14221661496797905,0.02460912987589836
12,-0.13158578721477704,0.024474818259477615
13,-0.14229202566339688,0.025036443024873734
14,-0.1417242379530388,0.02469642460346222
15,-0.14351773708510926,0.02427552454173565
16,-0.15978715185295134,0.02442186325788498
17,-0.15546931781093865,0.024361830204725266
18,-0.1522630369564628,0.024405164644122124
19,-0.1422572436687701,0.024517817422747612
20,-0.14157211706590125,0.024716680869460106
21,-0.14786574512939243,0.02469727024435997
22,-0.16172600893632455,0.02469778060913086
23,-0.16221622350242207,0.02484111674129963
24,-0.14705984453287194,0.024532444775104523
25,-0.1618790766772102,0.024701490998268127
26,-0.16088921423344052,0.025038395076990128
27,-0.14483607680920293,0.025882799178361893
28,-0.14078813961104436,0.024792451411485672
29,-0.15618037046207225,0.024441679939627647
30,-0.1667271171532133,0.024935012683272362
31,-0.14868607202216105,0.02515338361263275
32,-0.14114748270196073,0.02686481922864914
33,-0.15067539840717525,0.025201167911291122
34,-0.17072926094645963,0.02501731924712658
35,-0.15530286636203527,0.025437012314796448
36,-0.15901640315047083,0.025208787992596626
37,-0.15200878309962504,0.025447122752666473
38,-0.165353335412767,0.025560269132256508
39,-0.14091603594886906,0.02553635835647583
40,-0.15963801610119202,0.02541002444922924
41,-0.16577654340140083,0.026111172512173653
42,-0.16871536369709408,0.025364268571138382
43,-0.15374033309190588,0.025931404903531075
44,-0.1581495538189569,0.025988424196839333
45,-0.18739638373474865,0.0259979460388422
46,-0.1635649062364417,0.025844253599643707
47,-0.16973222285399542,0.025926906615495682
48,-0.15465850481653914,0.025891995057463646
49,-0.16402225097750917,0.02582511678338051
50,-0.16329833741902428,0.026013609021902084
51,-0.15523432945723042,0.026470359414815903
52,-0.15089153816156528,0.026361089199781418
53,-0.17179260633009322,0.02624383382499218
54,-0.16979954293107286,0.02608509175479412
55,-0.1668080169817104,0.02636749856173992
56,-0.16006696835050688,0.026727205142378807
57,-0.1585572401938193,0.026289064437150955
58,-0.16845908708979979,0.02618938311934471
59,-0.17077873340424368,0.026834474876523018
60,-0.16437980203944094,0.027225147932767868
61,-0.1681046260192114,0.026781199499964714
62,-0.15664250776171684,0.026885297149419785
63,-0.15935707179939046,0.026475297287106514
64,-0.16217391573659637,0.027055243030190468
65,-0.16427636360201767,0.02709108591079712
66,-0.15869558690225377,0.026834862306714058
67,-0.1564391398911967,0.027291709557175636
68,-0.17021705706001206,0.02655741386115551
69,-0.15294903377071023,0.026945779100060463
70,-0.15879199177245884,0.02717791311442852
71,-0.16779755548957517,0.0269347932189703
72,-0.167134263607509,0.027419330552220345
73,-0.16256397455821142,0.027709225192666054
74,-0.16403490428210182,0.027462797239422798
75,-0.16441694942905621,0.027540599927306175
76,-0.16799002765294382,0.027870168909430504
77,-0.17791093047708273,0.027145596221089363
78,-0.16731715027023764,0.027768414467573166
79,-0.17117015288814025,0.02681061625480652
80,-0.16001604048206525,0.027146710082888603
81,-0.16515563023002708,0.027409063652157784
82,-0.16500232116702726,0.027769586071372032
83,-0.16037314494743066,0.02768968977034092
84,-0.1635449642644209,0.028033196926116943
85,-0.16181960011668065,0.02705996483564377
86,-0.16733611065565662,0.02754277177155018
87,-0.1563953634844545,0.027364687994122505
88,-0.16726622834582539,0.02726985514163971
