epoch,loss,val_critic
1,86.23267559338642,104.51126098632812
2,56.21263764494209,85.13078308105469
3,46.53209742679391,72.08221435546875
4,39.02210083828177,62.47635269165039
5,34.32117836449736,56.33026885986328
6,29.815796052255937,47.557857513427734
7,26.313320149657546,41.80539321899414
8,22.83740512273645,34.191192626953125
9,20.186289387364543,31.171520233154297
10,18.660983208687075,29.07022476196289
11,16.781937760691488,26.199289321899414
12,15.715610552859562,22.545482635498047
13,14.729301306509203,21.847278594970703
14,13.858096261178293,20.4248104095459
15,13.015494187672934,18.450611114501953
16,12.827405109200427,20.30759048461914
17,12.405678931102958,19.7634334564209
18,11.537218975764448,16.037363052368164
19,10.887268889334894,16.803396224975586
20,10.622571958008633,15.229585647583008
21,10.061034238466652,14.006110191345215
22,9.865557104028682,14.487388610839844
23,9.53411227656949,13.737320899963379
24,9.28749652575421,13.001534461975098
25,9.097087775507282,11.978204727172852
26,8.917573775014569,13.790788650512695
27,8.599875570625388,14.284781455993652
28,8.407406226281196,11.50537109375
29,8.431781608571288,10.741169929504395
30,8.452499970313042,10.374563217163086
31,7.62248158583077,11.115983963012695
32,7.878865813696256,11.838947296142578
33,8.042325960692539,11.380521774291992
34,7.601505625632502,11.275675773620605
35,7.143246925005349,9.670804023742676
36,6.9670881904581545,9.329370498657227
37,7.04163460962234,9.477043151855469
38,6.781509307123,8.881829261779785
39,6.7573279924290155,9.289203643798828
40,6.7028632164001465,10.036093711853027
41,6.5752462520394275,9.043319702148438
42,6.426171709132451,8.92045783996582
43,6.300877796706333,8.581026077270508
44,6.410499324080765,9.112699508666992
45,6.120077980461941,8.130243301391602
46,6.084257718055479,7.606129169464111
47,6.11175565309422,7.252752304077148
48,5.858225343047931,7.230321884155273
49,5.6387332376613415,7.471148490905762
50,5.42516218526389,6.6960296630859375
51,5.433324931770243,7.15556001663208
52,5.3955002536055865,6.593449592590332
53,5.369128288761262,7.462209701538086
54,5.294052641878846,6.177194118499756
55,4.964615606492566,6.851797580718994
56,5.193734836193823,7.822897911071777
57,5.053138697660097,6.68145751953125
58,5.053231908429053,6.339170932769775
59,4.796510194578478,5.941280841827393
60,4.900795075201219,6.285543918609619
61,4.580142246138665,6.097934246063232
62,4.540535555090956,5.559593677520752
63,4.738639541851577,8.530738830566406
64,4.680167454545216,5.951732635498047
65,4.259499606265817,5.7297539710998535
66,4.466661463501633,5.1457839012146
67,4.431007373717524,5.708976745605469
68,4.251104774013642,6.147828102111816
69,4.127364830945128,5.868663311004639
70,4.313438491154742,5.047152042388916
71,4.108212342826269,7.055651664733887
72,4.197456327817774,5.485699653625488
73,3.9034044319583523,5.491043567657471
74,4.007469815592612,5.997221946716309
75,4.105591440713534,5.176982879638672
76,3.9931812292786053,5.899463176727295
77,3.9347836356009207,6.287290573120117
78,3.877510420737728,4.325318813323975
79,3.689144767099811,5.016912937164307
80,3.647958694606699,6.187905788421631
81,3.831433998641147,4.761136054992676
82,3.9480981455054334,5.041589736938477
83,3.7284007360858302,4.767740726470947
84,3.6063944344879477,4.912733554840088
85,3.711352996287807,4.0755839347839355
86,3.4972887500639884,4.936716079711914
87,3.5318655730575643,4.786195755004883
88,3.4592083378504683,4.424509525299072
89,3.4528720519875966,4.042446136474609
90,3.4353843158291233,4.390908718109131
91,3.470397946655109,5.184478759765625
92,3.3748380984029462,5.506389141082764
93,3.555759030644612,4.2407355308532715
94,3.4232022230343153,6.943875789642334
95,3.1993438005447388,4.702491760253906
96,3.381454562628141,4.762258529663086
97,3.407145711683458,3.865975856781006
98,3.310297833975925,3.6274116039276123
99,3.132723242364904,3.9846279621124268
100,3.0450427166877256,3.884748935699463
101,3.1557973366911694,5.4163713455200195
102,3.3748044070377143,3.713115930557251
103,3.0435291214655806,3.596057891845703
104,2.9102351620633113,4.272017478942871
105,3.0362130525291606,3.8261218070983887
106,2.962017807268327,4.11042594909668
107,2.898627734953357,3.875753402709961
108,2.932820011210698,4.1385416984558105
109,2.903700545269956,5.451392650604248
110,2.9547218715631836,3.6969125270843506
111,2.847005849884402,3.9090945720672607
112,2.9828517090889717,4.246888637542725
113,2.7539814338889173,3.501377820968628
114,2.6925427227891903,3.939112663269043
115,2.6887523797891473,3.8210136890411377
116,2.733515186976361,3.3885915279388428
117,2.752730663745634,3.995875597000122
118,2.8735121885935464,3.5242061614990234
119,2.615251500760355,3.1980416774749756
120,2.6483987419195074,3.266575574874878
121,2.6532151147883427,3.1429789066314697
122,2.6380065794914,3.7692713737487793
123,2.6042588231384114,4.642024517059326
124,2.7233951489130654,3.9304752349853516
125,2.6070965022169132,3.2665293216705322
126,2.7188011712284497,4.448659896850586
127,2.694760182211476,4.171045303344727
128,2.5822958529636426,3.9120442867279053
129,2.400525055264914,3.2583322525024414
130,2.454331506324071,3.4925496578216553
131,2.552769240833098,3.553142786026001
132,2.452928800736704,3.112337589263916
133,2.2824875315030417,3.2702510356903076
134,2.423656783757671,4.044788837432861
135,2.4154624467895878,3.4306094646453857
136,2.348794025759543,4.191152095794678
137,2.3676811578453227,4.065030097961426
138,2.308438947444321,3.135345935821533
139,2.257999471118373,3.346691370010376
140,2.255168427703201,3.599609375
141,2.325171283175868,2.8057897090911865
142,2.369534714568046,3.0163443088531494
143,2.215198185174696,3.543178081512451
144,2.193875337800672,2.9407641887664795
145,2.283750917001437,3.1120738983154297
146,2.1535834721339646,2.6000499725341797
147,2.2824594173380124,3.2244722843170166
148,2.1343322040573245,2.964184522628784
149,2.224173177314061,2.9657063484191895
150,2.1767107232283522,2.6695785522460938
