epoch,loss
1,-0.16124611679050657
2,-0.19547392897031926
3,-0.2472997936937544
4,-0.2292494241286207
5,-0.21377924112258134
6,-0.2896479782130983
7,-0.2797565402256118
8,-0.23266737742556465
9,-0.21675987293322882
10,-0.22335848460594812
11,-0.2578787867117811
12,-0.2841513885392083
13,-0.24747941118699532
14,-0.29886692320858993
15,-0.27985803451802993
16,-0.25158355191901877
17,-0.2916254605408068
18,-0.2475387743777699
19,-0.23755445082982382
20,-0.23936781645924957
21,-0.26868077560707376
22,-0.24857020543681252
23,-0.25950680259201264
24,-0.24845784737004173
25,-0.2728516144884957
26,-0.26464379440855096
27,-0.28562996315735356
28,-0.3270031252393016
29,-0.2567889350983832
30,-0.2930917913715045
31,-0.28790371809844617
32,-0.2893487960100174
33,-0.27422098263546274
34,-0.26863747586806613
35,-0.2735498404061353
36,-0.23578946513158303
37,-0.2443939325986085
38,-0.28081537865930134
39,-0.26523827264706296
40,-0.26560000523372934
41,-0.303730688713215
42,-0.2870682273749952
43,-0.29828957495866
44,-0.2802807183729278
45,-0.2871421393420961
46,-0.2610628408966241
47,-0.26354771769709057
48,-0.27865065772224357
49,-0.3021985383497344
50,-0.2724227709350763
51,-0.2563009761549808
52,-0.29592913803127074
53,-0.3173013875881831
54,-0.3121328386995528
55,-0.2775928046968248
56,-0.2871021214458678
57,-0.2694793713313562
58,-0.3381365068532802
59,-0.3062803339627054
60,-0.32390519811047447
61,-0.28887483532781955
62,-0.25223987687517097
63,-0.27697764171494377
64,-0.2704595183884656
65,-0.20934657724919142
66,-0.31633097154122813
67,-0.29107035558532784
68,-0.31962226386423465
69,-0.2965180435114437
70,-0.2892699106423943
71,-0.28409313493304783
72,-0.30834659437338513
73,-0.2905984192534729
74,-0.3119274477163951
75,-0.2764891016262549
76,-0.2793658074957353
77,-0.24674959508357225
78,-0.28432993232100096
79,-0.3054419822163052
80,-0.2822548465596305
81,-0.2891879388027721
82,-0.29098193568212016
83,-0.26629943814542556
84,-0.31505256863655867
85,-0.2703728198453232
86,-0.298181665164453
87,-0.3097123498166049
88,-0.25394812419458673
89,-0.3342252219164813
90,-0.3264552812885355
91,-0.2710832371203988
92,-0.29965988519015135
93,-0.26753029061688316
94,-0.23346768816312155
95,-0.25659287444971224
96,-0.31052513392987074
97,-0.32004860429852094
98,-0.29654063670723524
99,-0.3143394961953163
100,-0.31570932931370205
101,-0.3051624811357922
102,-0.3333142728165344
103,-0.287330350390187
104,-0.299080240505713
105,-0.2882629001030215
106,-0.2580675416522556
107,-0.31637698301562556
108,-0.3044303639067544
109,-0.337343888702216
110,-0.3253489189125873
111,-0.3177277213997311
112,-0.2888704640445886
113,-0.3184958442493721
114,-0.29579125096400577
115,-0.27586989794616346
116,-0.3159830429487758
117,-0.24602927847041023
118,-0.2764512242542373
119,-0.3273776634423821
120,-0.25992873117879584
121,-0.30729898617223456
122,-0.29680042575906823
123,-0.3108469380272759
124,-0.2890116216407882
125,-0.27680216205340846
126,-0.3102108195975975
127,-0.3468928436438243
128,-0.27970033718480003
129,-0.24524166297029565
130,-0.2846542003530043
131,-0.3321686191139398
132,-0.2926215167950701
133,-0.3189634956695415
134,-0.2457190958989991
135,-0.2856048204832607
136,-0.313374035888248
137,-0.2537629226291621
138,-0.2639399482696145
139,-0.2942565671271748
140,-0.28094606156702395
141,-0.2514820096117479
142,-0.3013283673811842
143,-0.2764927998737053
144,-0.29717390294428225
145,-0.31250890178812873
146,-0.3387923041979472
147,-0.2818854727126934
148,-0.3375597623763261
149,-0.28979565727489964
150,-0.2501667544797615
151,-0.28524017996258205
152,-0.327088375058439
153,-0.28131923962522437
154,-0.3029581951322379
155,-0.2973651320294098
156,-0.28972600897153217
157,-0.35867585876473673
158,-0.27913386678254165
159,-0.2615501143866115
160,-0.28805986681470164
161,-0.25592546606505356
162,-0.38948799173037213
163,-0.31250943464261516
164,-0.3036864846944809
165,-0.26983473891461335
166,-0.27600968932663955
167,-0.29845048266428487
168,-0.35042263236310744
169,-0.30480142489627554
170,-0.34375084108776516
171,-0.3144257057596136
172,-0.29786277562379837
173,-0.29094499239215144
174,-0.2728835200821912
175,-0.28089423946760317
176,-0.30314831325301417
177,-0.27536473312863596
178,-0.3034279981145152
179,-0.23308057917488945
180,-0.26012856182124877
181,-0.26280307052312074
182,-0.29357146388954586
183,-0.29582371093608717
184,-0.3085850711773943
185,-0.28519332215741827
186,-0.2719176935928839
187,-0.25779682646195096
188,-0.32887396106013544
189,-0.2940699654044928
190,-0.30085670120186275
191,-0.2802784473255829
192,-0.3235419381547857
193,-0.29807736117530753
194,-0.26482025257967134
195,-0.3092497984568278
196,-0.30486951106124455
197,-0.294810242123074
198,-0.2695115992316493
199,-0.2663826456776372
200,-0.2674194083169655
